Año;Mes;Institución;Suficiencia patrimonial;Proporción de activos improductivos;Proporción de activos productivos;Eficiencia del financiamiento;Morosidad cartera total;Cobertura cartera problemática;Eficiencia de costos operacionales en el manejo del activo;Grado de Absorción;Eficiencia en el manejo de gastos de personal en el manejo de activos;ROE;ROA;Intermediación financiera;Margen de intermediación que genera el patrimonio;Margen de intermediación que genera el activo;Rendimiento de la cartera por vencer;Liquidez;Cartera improductiva descubierta en relación al patrimonio y resultados ;Cartera Improductiva sobre el Patrimonio de Diciembre. ;Porcentaje de los activos totales que están financiados con el patrimonio real de la entidad;Cambio relativo de la participación de los activos improductivos netos que mantiene la institución en relación a sus activos totales.;Índice de Capitalización Neto: Solvencia
2021;Septiembre;16 DE JULIO LTDA;3,468674216;0,039289079;0,960710921;1,127969614;0,044590267;1,532846113;0,067677672;0,787614052;0,017514849;0,184240282;0,021197874;1,067978152;0,158617101;0,018249784;0,171966498;0,19224826;0;0,33937546;0,120430196;1,039289079;0,115877476
2021;Septiembre;ABDON CALDERON LTDA;9,469637167;0,105978561;0,894021439;1,084346936;0,110196392;1,099288497;0,067268259;0,845787857;0,018030589;0,070307644;0,009816033;1,044311119;0,087848397;0,012264993;0,204180062;0,228365047;0;0,575238844;0,151611093;1,105978561;0,137083212
2021;Septiembre;ACCION IMBABURAPAK LTDA;2,546632326;0,079141376;0,920858624;1,130268532;0,08215167;0,764451985;0,089460404;1,048074422;0,050647431;0,012216551;0,001976467;1,293808341;-0,025363653;-0,004103485;0,196055759;0,127715397;0,10952825;0,469058225;0,159089331;1,079141376;0,14742214
2021;Septiembre;ACCION TUNGURAHUA LTDA;1,641754793;0,102403211;0,897596789;1,102972259;0,043285351;1,049393645;0,084274551;0,99864092;0,033294245;0,022189079;0,0034702;1,107099891;0,000733359;0,000114692;0,21449045;0,298149786;0;0,219767236;0,155972596;1,102403211;0,141484163
2021;Septiembre;ANDINA LTDA;0,86680636;0,113960923;0,886039077;1,006750531;0,111462772;0,650374236;0,09387995;2,263435804;0,044273222;-0,212706319;-0,021792778;0,859522746;-0,511476448;-0,052403205;0,207778039;0,448623731;0,334398788;0,813893161;0,064237822;1,113960923;0,057666136
2021;Septiembre;ANTORCHA LTDA;3,487603944;0,131857175;0,868142825;1,57716509;0,071225791;1,105320512;0,11279122;0,881534326;0,036651877;0,041048397;0,01568436;1,849078394;0,039669616;0,015157536;0,196419445;0,328436959;0;0,161829699;0,375161527;1,131857175;0,331456596
2021;Septiembre;BASE DE TAURA;6,123511361;0,046658959;0,953341041;1,284614168;0,046200482;0,923903161;0,090323054;0,930442695;0,044395707;0,035345438;0,006209595;1,165539558;0,038434554;0,0067523;0,147724008;0,225097482;0,016555285;0,223284518;0,18189101;1,046658959;0,173782499
2021;Septiembre;CACPE CELICA;5,043506266;0,059485687;0,940514313;1,270107341;0,076207026;0,837672771;0,047226283;0,727599866;0,019566162;0,098949957;0,023163683;1,101100267;0,075527736;0,01768066;0,15908458;0,287319651;0,04164667;0,275176983;0,236498925;1,059485687;0,2232205
2021;Septiembre;CAMARA DE COMERCIO DE SANTO DOMINGO;0,269474227;0,224963713;0,775036287;0,840124889;0,299404007;0,20755484;0,057647736;1,318870308;0,023549343;0,025840788;0,001528379;0,72293255;-0,235650882;-0,013937801;0,234133403;0,47915299;2,513407707;3,230109533;0,046838784;1,224963713;0,038236875
2021;Septiembre;CAMPESINA COOPAC;0,900347205;0,204062684;0,795937316;1,000887675;0,155068531;0,526783979;0,076689374;1,656070702;0,036170282;0,025895321;0,004223096;0,999787575;-0,18629331;-0,030381343;0,218905309;0,259058153;0,338520587;0,728929066;0,14303265;1,204062684;0,118791698
2021;Septiembre;CAÑAR LTDA;5,020939757;0,046299541;0,953700459;1,211461968;0,046738374;1,541417393;0,049367424;0,698947545;0,020252222;0,119394699;0,020886056;0,99099178;0,121553275;0,021263662;0,169149829;0,323473661;0;0,214641952;0,172758889;1,046299541;0,165114178
2021;Septiembre;CIUDAD DE QUITO;5,823969585;0,016512238;0,983487762;1,110608752;0,018076632;2,912567762;0,055200167;0,999336208;0,032450729;0,038436355;0,003658616;0,648501188;0,0003852;3,66658E-05;0,142212782;0,10429131;0;0,111663443;0,092806516;1,016512238;0,091298966
2021;Septiembre;COCA LTDA;1,788895196;0,143203229;0,856796771;1,158165089;0,102261915;0,801208378;0,090527218;1,128372159;0,03523846;0,002771094;0,00064073;1,130912591;-0,044542399;-0,010299062;0,188111087;0,187057118;0,070422842;0,354977219;0,224859544;1,143203229;0,196692538
2021;Septiembre;COOP CATAR LTDA;0,281477281;0,32767517;0,67232483;0,756999455;0,222493609;0,221237904;0,078960279;2,11888939;0,032956825;-0,327901122;-0,040689712;0,939362254;-0,336005074;-0,041695342;0,166871409;0,120548611;1,574787427;1,533760456;0,089332836;1,32767517;0,067285159
2021;Septiembre;COORAMBATO LTDA;53,88568279;0,02978668;0,97021332;1,795327998;0,102957832;1,559957994;0,09356953;0,758368601;0,039060333;0,113125662;0,038746905;2,395883406;0,087042548;0,029813123;0,239265862;0,180706773;0;0,305594856;0,369414649;1,02978668;0,358729295
2021;Septiembre;COORCOTOPAXI LTDA;2,26324254;0,117053112;0,882946888;1,065735351;0,110246998;0,6155043;0,23223514;0,889101697;0,094485781;#¡NULO!;0,031670928;1,305492168;#¡NULO!;0,028966858;0,527074089;0,266859209;0,233135013;0,642112519;0,162619669;1,117053112;0,145579174
2021;Septiembre;CRECER WIÑARI LTDA;2,615320005;0,059506819;0,940493181;1,107550641;0,058418029;1,016547696;0,105424801;0,992812445;0,047059104;0,019688748;0,002728597;1,322898472;0,005507259;0,000763232;0,241097647;0,228922137;0;0,388753659;0,130311968;1,059506819;0,122993044
2021;Septiembre;CREDI YA LTDA;1,680355105;0,066617201;0,933382799;1,066234421;0,014407769;1,33535452;0,081524129;0,915712485;0,041160069;0,089669545;0,008993214;1,062826557;0,074820453;0,007503956;0,207362052;0,275908097;0;0,11304625;0,103720323;1,066617201;0,097242312
2021;Septiembre;CREDIAMBATO LTDA;20,71887808;0,008743301;0,991256699;1,153163973;0,019975126;1,581229647;0,06636072;0,745388666;0,022755907;0,213483074;0,024442017;0,997650265;0,197985075;0,022667626;0,168515446;1,911889981;0;0,168572431;0,115916288;1,008743301;0,114911581
2021;Septiembre;CREDIAMIGO LTDA;2,10486299;0,063629174;0,936370826;1,069308434;0,02788561;0,921198712;0,063206176;1,034520539;0,028458939;0,001572388;0,000161303;1,098852482;-0,020559646;-0,002109104;0,171789948;0,12675041;0,018272426;0,232120424;0,099955056;1,063629174;0,093975475
2021;Septiembre;CREDIL LTDA;2,035343299;0,081504911;0,918495089;1,099323365;0,030965436;1,086449591;0,09457373;1,086807463;0,04990912;0,06372591;0,010733636;1,118158304;-0,044848111;-0,007553965;0,199652918;0,519668574;0;0,161043081;0,13530355;1,081504911;0,125106737
2021;Septiembre;CREDIMAS;0,56501072;0,131706323;0,868293677;0,966603301;0,063731205;0,269071377;0,148136629;1,047244607;0,047910222;#¡NULO!;0,004547994;0,702304051;#¡NULO!;-0,006682925;0,463241601;0,15141498;0,389247548;0,54204252;0,073631958;1,131706323;0,065062778
